day,time,category,slot1,slot2,slot3
8,12-13,afternoon,0,1,1
8,13-14,afternoon,1,1,1
8,14-15,afternoon,0,1,1
8,15-16,afternoon,1,1,1
8,16-17,evening,1,1,1
8,17-18,evening,1,0,1
8,18-19,evening,1,0,1
8,19-20,evening,1,1,1
8,20-21,night,0,0,0
8,21-22,night,1,0,0
8,22-23,night,1,0,1
8,23-24,night,1,1,0
8,0-1,midnight,0,0,0
8,1-2,midnight,0,0,0
8,2-3,midnight,0,0,0
8,3-4,midnight,0,0,0
9,4-5,early morning,0,0,0
9,5-6,early morning,0,0,0
9,6-7,early morning,0,0,0
9,7-8,early morning,0,0,0
9,8-9,morning,1,0,1
9,9-10,morning,1,1,1
9,10-11,morning,1,1,0
9,11-12,morning,1,1,0
9,12-13,afternoon,1,1,1
9,13-14,afternoon,1,1,1
9,14-15,afternoon,1,1,1
9,15-16,afternoon,1,1,1
9,16-17,evening,1,1,1
9,17-18,evening,1,1,1
9,18-19,evening,1,1,1
9,19-20,evening,1,1,1
9,20-21,night,1,0,1
9,21-22,night,1,0,0
9,22-23,night,0,0,1
9,23-24,night,0,0,0
9,0-1,midnight,0,0,0
9,1-2,midnight,0,1,0
9,2-3,midnight,0,0,0
9,3-4,midnight,0,0,0
10,4-5,early morning,0,0,0
10,5-6,early morning,0,0,0
10,6-7,early morning,0,0,0
10,7-8,early morning,0,0,1
10,8-9,morning,0,1,1
10,9-10,morning,1,1,0
10,10-11,morning,1,1,1
10,11-12,morning,0,0,1
10,12-13,afternoon,1,1,1
10,13-14,afternoon,1,1,1
10,14-15,afternoon,1,1,1
10,15-16,afternoon,1,0,1
10,16-17,evening,1,1,0
10,17-18,evening,1,1,1
10,18-19,evening,1,1,1
10,19-20,evening,1,1,1
10,20-21,night,0,0,0
10,21-22,night,0,1,0
10,22-23,night,0,1,1
10,23-24,night,0,1,0
10,0-1,midnight,0,1,0
10,1-2,midnight,0,0,0
10,2-3,midnight,0,0,0
10,3-4,midnight,0,0,0
11,4-5,early morning,0,0,0
11,5-6,early morning,0,0,0
11,6-7,early morning,0,0,1
11,7-8,early morning,0,0,0
11,8-9,morning,1,1,0
11,9-10,morning,1,0,0
11,10-11,morning,0,0,1
11,11-12,morning,1,0,0
11,12-13,afternoon,1,0,1
11,13-14,afternoon,1,0,1
11,14-15,afternoon,1,1,1
11,15-16,afternoon,1,1,1
11,16-17,evening,1,1,1
11,17-18,evening,1,0,1
11,18-19,evening,0,1,0
11,19-20,evening,1,1,1
11,20-21,night,1,1,1
11,21-22,night,0,0,0
11,22-23,night,1,0,0
11,23-24,night,1,0,1
11,0-1,midnight,0,1,0
11,1-2,midnight,0,0,0
11,2-3,midnight,0,0,0
11,3-4,midnight,1,0,0
12,4-5,early morning,0,0,0
12,5-6,early morning,0,0,1
12,6-7,early morning,1,0,1
12,7-8,early morning,0,0,0
12,8-9,morning,1,1,0
12,9-10,morning,1,1,0
12,10-11,morning,1,0,1
12,11-12,morning,0,0,0
12,12-13,afternoon,1,1,1
12,13-14,afternoon,1,1,1
12,14-15,afternoon,1,1,1
12,15-16,afternoon,1,1,1
12,16-17,evening,1,1,1
12,17-18,evening,1,1,1
12,18-19,evening,1,1,1
12,19-20,evening,1,1,1
12,20-21,night,0,0,0
12,21-22,night,1,1,0
12,22-23,night,0,0,0
12,23-24,night,1,0,0
12,0-1,midnight,0,0,0
12,1-2,midnight,0,0,0
12,2-3,midnight,0,0,0
12,3-4,midnight,0,0,0
13,4-5,early morning,0,0,0
13,5-6,early morning,1,1,0
13,6-7,early morning,0,0,0
13,7-8,early morning,0,0,0
13,8-9,morning,0,1,0
13,9-10,morning,1,0,0
13,10-11,morning,0,0,1
13,11-12,morning,0,0,1
13,12-13,afternoon,0,0,1
13,13-14,afternoon,1,0,1
13,14-15,afternoon,1,0,1
13,15-16,afternoon,1,1,1
13,16-17,evening,0,1,1
13,17-18,evening,1,1,1
13,18-19,evening,1,1,1
13,19-20,evening,1,1,1
13,20-21,night,1,0,1
13,21-22,night,1,0,0
13,22-23,night,0,0,1
13,23-24,night,1,0,1
13,0-1,midnight,0,0,0
13,1-2,midnight,0,0,0
13,2-3,midnight,0,0,1
13,3-4,midnight,0,0,0
14,4-5,early morning,0,0,0
14,5-6,early morning,0,0,1
14,6-7,early morning,0,0,0
14,7-8,early morning,0,0,0
14,8-9,morning,1,0,1
14,9-10,morning,0,1,0
14,10-11,morning,1,1,1
14,11-12,morning,0,0,0
14,12-13,afternoon,1,1,1
14,13-14,afternoon,1,1,1
14,14-15,afternoon,1,0,1
14,15-16,afternoon,0,1,1
14,16-17,evening,1,1,1
14,17-18,evening,1,1,1
14,18-19,evening,1,0,1
14,19-20,evening,1,1,1
14,20-21,night,1,1,0
14,21-22,night,0,0,0
14,22-23,night,1,0,0
14,23-24,night,1,0,1
14,0-1,midnight,0,0,0
14,1-2,midnight,0,0,0
14,2-3,midnight,0,0,0
14,3-4,midnight,0,0,0
15,4-5,early morning,0,0,0
15,5-6,early morning,0,0,0
15,6-7,early morning,0,0,0
15,7-8,early morning,0,1,0
15,8-9,morning,1,1,1
15,9-10,morning,0,0,0
15,10-11,morning,0,0,1
15,11-12,morning,0,1,0
15,12-13,afternoon,1,1,1
15,13-14,afternoon,1,1,1
15,14-15,afternoon,1,1,1
15,15-16,afternoon,1,1,1
15,16-17,evening,1,1,1
15,17-18,evening,1,0,0
15,18-19,evening,0,1,0
15,19-20,evening,1,1,0
15,20-21,night,1,0,1
15,21-22,night,0,0,1
15,22-23,night,0,1,1
15,23-24,night,0,0,0
15,0-1,midnight,0,0,0
15,1-2,midnight,0,0,0
15,2-3,midnight,0,0,0
15,3-4,midnight,0,0,0
16,4-5,early morning,0,0,0
16,5-6,early morning,0,0,0
16,6-7,early morning,0,0,0
16,7-8,early morning,1,0,0
16,8-9,morning,1,0,0
16,9-10,morning,0,1,0
16,10-11,morning,0,0,0
16,11-12,morning,1,1,0
16,12-13,afternoon,1,0,1
16,13-14,afternoon,1,1,1
16,14-15,afternoon,0,1,0
16,15-16,afternoon,1,1,1
16,16-17,evening,1,1,1
16,17-18,evening,0,1,1
16,18-19,evening,1,1,1
16,19-20,evening,1,1,1
16,20-21,night,1,0,0
16,21-22,night,0,1,0
16,22-23,night,1,1,0
16,23-24,night,1,1,1
16,0-1,midnight,0,1,0
16,1-2,midnight,0,0,0
16,2-3,midnight,0,0,0
16,3-4,midnight,0,0,0
17,4-5,early morning,0,0,0
17,5-6,early morning,0,0,0
17,6-7,early morning,0,0,0
17,7-8,early morning,0,1,0
17,8-9,morning,1,1,0
17,9-10,morning,1,1,1
17,10-11,morning,0,0,0
17,11-12,morning,1,0,1
17,12-13,afternoon,1,1,1
17,13-14,afternoon,0,1,1
17,14-15,afternoon,1,1,1
17,15-16,afternoon,0,1,1
17,16-17,evening,1,1,1
17,17-18,evening,1,1,0
17,18-19,evening,1,1,1
17,19-20,evening,1,1,1
17,20-21,night,1,1,1
17,21-22,night,0,0,0
17,22-23,night,1,0,0
17,23-24,night,1,0,1
17,0-1,midnight,0,1,0
17,1-2,midnight,0,0,0
17,2-3,midnight,0,0,0
17,3-4,midnight,1,0,0
18,4-5,early morning,0,0,0
18,5-6,early morning,0,0,0
18,6-7,early morning,0,1,0
18,7-8,early morning,0,0,0
18,8-9,morning,1,0,0
18,9-10,morning,0,1,1
18,10-11,morning,0,1,1
18,11-12,morning,0,1,1
18,12-13,afternoon,1,1,1
18,13-14,afternoon,1,1,1
18,14-15,afternoon,1,1,1
18,15-16,afternoon,1,1,1
18,16-17,evening,1,1,1
18,17-18,evening,1,0,1
18,18-19,evening,1,0,0
18,19-20,evening,1,1,1
18,20-21,night,0,0,0
18,21-22,night,1,0,1
18,22-23,night,1,0,1
18,23-24,night,1,1,0
18,0-1,midnight,0,0,0
18,1-2,midnight,1,0,0
18,2-3,midnight,0,0,1
18,3-4,midnight,0,0,0
19,4-5,early morning,0,0,0
19,5-6,early morning,0,0,0
19,6-7,early morning,0,0,1
19,7-8,early morning,0,0,0
19,8-9,morning,1,0,0
19,9-10,morning,0,0,1
19,10-11,morning,0,1,0
19,11-12,morning,1,1,1
19,12-13,afternoon,1,1,1
19,13-14,afternoon,1,1,1
19,14-15,afternoon,0,1,1
19,15-16,afternoon,1,1,1
19,16-17,evening,1,0,1
19,17-18,evening,1,0,0
19,18-19,evening,0,1,1
19,19-20,evening,1,1,1
19,20-21,night,0,1,0
19,21-22,night,1,1,1
19,22-23,night,1,1,1
19,23-24,night,1,0,0
19,0-1,midnight,0,0,0
19,1-2,midnight,1,0,0
19,2-3,midnight,0,0,0
19,3-4,midnight,0,0,0
20,4-5,early morning,0,0,0
20,5-6,early morning,0,0,0
20,6-7,early morning,0,0,0
20,7-8,early morning,0,0,0
20,8-9,morning,1,1,1
20,9-10,morning,0,0,1
20,10-11,morning,0,0,1
20,11-12,morning,1,1,0
20,12-13,afternoon,1,1,1
20,13-14,afternoon,1,1,1
20,14-15,afternoon,1,1,1
20,15-16,afternoon,0,1,1
20,16-17,evening,1,1,1
20,17-18,evening,1,1,1
20,18-19,evening,1,1,1
20,19-20,evening,1,1,1
20,20-21,night,1,0,1
20,21-22,night,0,1,1
20,22-23,night,1,1,1
20,23-24,night,1,0,1
20,0-1,midnight,0,0,0
20,1-2,midnight,0,0,0
20,2-3,midnight,0,0,0
20,3-4,midnight,0,0,1
21,4-5,early morning,0,0,0
21,5-6,early morning,0,0,0
21,6-7,early morning,0,0,0
21,7-8,early morning,0,0,0
21,8-9,morning,0,0,0
21,9-10,morning,1,1,1
21,10-11,morning,1,0,0
21,11-12,morning,1,0,1
21,12-13,afternoon,1,1,1
21,13-14,afternoon,1,1,1
21,14-15,afternoon,1,1,1
21,15-16,afternoon,1,1,1
21,16-17,evening,1,1,1
21,17-18,evening,1,1,1
21,18-19,evening,1,1,1
21,19-20,evening,1,1,1
21,20-21,night,1,1,1
21,21-22,night,0,0,1
21,22-23,night,0,0,0
21,23-24,night,1,1,0
21,0-1,midnight,0,0,0
21,1-2,midnight,0,0,0
21,2-3,midnight,0,0,0
21,3-4,midnight,0,0,0
22,4-5,early morning,0,0,0
22,5-6,early morning,0,0,0
22,6-7,early morning,0,0,0
22,7-8,early morning,0,0,0
22,8-9,morning,1,1,0
22,9-10,morning,0,1,1
22,10-11,morning,1,0,1
22,11-12,morning,1,0,1
22,12-13,afternoon,1,1,1
22,13-14,afternoon,1,1,1
22,14-15,afternoon,1,1,0
22,15-16,afternoon,1,1,1
22,16-17,evening,1,1,1
22,17-18,evening,1,1,0
22,18-19,evening,1,0,0
22,19-20,evening,1,1,1
22,20-21,night,0,0,0
22,21-22,night,1,1,0
22,22-23,night,1,1,0
22,23-24,night,0,1,0
22,0-1,midnight,1,0,0
22,1-2,midnight,0,0,0
22,2-3,midnight,0,0,0
22,3-4,midnight,0,0,1
23,4-5,early morning,0,1,0
23,5-6,early morning,0,0,0
23,6-7,early morning,0,0,0
23,7-8,early morning,0,0,0
23,8-9,morning,1,0,1
23,9-10,morning,1,1,0
23,10-11,morning,0,0,1
23,11-12,morning,1,0,0
23,12-13,afternoon,1,1,1
23,13-14,afternoon,1,1,1
23,14-15,afternoon,1,1,1
23,15-16,afternoon,1,1,0
23,16-17,evening,1,1,1
23,17-18,evening,1,1,1
23,18-19,evening,1,1,1
23,19-20,evening,1,1,1
23,20-21,night,0,1,1
23,21-22,night,1,1,1
23,22-23,night,0,0,0
23,23-24,night,1,0,0
23,0-1,midnight,1,0,1
23,1-2,midnight,0,0,1
23,2-3,midnight,0,0,1
23,3-4,midnight,0,0,0
24,4-5,early morning,1,0,1
24,5-6,early morning,0,0,0
24,6-7,early morning,1,0,0
24,7-8,early morning,0,0,0
24,8-9,morning,1,1,1
24,9-10,morning,0,1,1
24,10-11,morning,1,1,1
24,11-12,morning,0,1,1
24,12-13,afternoon,1,1,1
24,13-14,afternoon,1,1,1
24,14-15,afternoon,1,1,1
24,15-16,afternoon,1,1,1
24,16-17,evening,1,1,1
24,17-18,evening,1,1,1
24,18-19,evening,1,1,1
24,19-20,evening,1,1,1
24,20-21,night,1,1,1
24,21-22,night,0,1,1
24,22-23,night,1,0,1
24,23-24,night,1,1,0
24,0-1,midnight,0,0,0
24,1-2,midnight,0,1,0
24,2-3,midnight,0,0,0
24,3-4,midnight,0,0,0
25,4-5,early morning,0,0,0
25,5-6,early morning,0,0,0
25,6-7,early morning,0,0,0
25,7-8,early morning,0,0,0
25,8-9,morning,0,1,0
25,9-10,morning,1,0,1
25,10-11,morning,0,1,0
25,11-12,morning,1,0,1
25,12-13,afternoon,1,1,0
25,13-14,afternoon,1,1,1
25,14-15,afternoon,1,1,1
25,15-16,afternoon,1,1,1
25,16-17,evening,1,1,1
25,17-18,evening,1,0,1
25,18-19,evening,1,1,1
25,19-20,evening,1,1,1
25,20-21,night,0,1,0
25,21-22,night,1,0,0
25,22-23,night,1,1,1
25,23-24,night,1,1,0
25,0-1,midnight,0,0,0
25,1-2,midnight,0,0,0
25,2-3,midnight,0,1,0
25,3-4,midnight,0,0,0
26,4-5,early morning,0,0,0
26,5-6,early morning,0,0,0
26,6-7,early morning,0,0,0
26,7-8,early morning,0,0,0
26,8-9,morning,0,1,0
26,9-10,morning,0,1,1
26,10-11,morning,1,0,1
26,11-12,morning,1,1,0
26,12-13,afternoon,1,1,1
26,13-14,afternoon,1,1,1
26,14-15,afternoon,1,1,1
26,15-16,afternoon,1,1,1
26,16-17,evening,1,1,1
26,17-18,evening,1,1,1
26,18-19,evening,0,1,1
26,19-20,evening,1,1,0
26,20-21,night,1,1,0
26,21-22,night,0,0,1
26,22-23,night,1,1,0
26,23-24,night,1,0,1
26,0-1,midnight,0,0,0
26,1-2,midnight,0,1,0
26,2-3,midnight,0,0,1
26,3-4,midnight,0,0,1
27,4-5,early morning,0,0,0
27,5-6,early morning,0,0,1
27,6-7,early morning,0,0,0
27,7-8,early morning,0,0,0
27,8-9,morning,1,1,0
27,9-10,morning,0,0,1
27,10-11,morning,0,0,0
27,11-12,morning,0,1,0
27,12-13,afternoon,0,1,1
27,13-14,afternoon,1,1,1
27,14-15,afternoon,1,1,1
27,15-16,afternoon,1,1,1
27,16-17,evening,1,1,0
27,17-18,evening,1,1,1
27,18-19,evening,0,0,1
27,19-20,evening,1,1,1
27,20-21,night,1,1,0
27,21-22,night,1,1,1
27,22-23,night,1,0,1
27,23-24,night,0,1,0
27,0-1,midnight,0,0,1
27,1-2,midnight,0,0,0
27,2-3,midnight,1,0,1
27,3-4,midnight,0,1,0
28,4-5,early morning,0,0,0
28,5-6,early morning,0,0,0
28,6-7,early morning,0,0,1
28,7-8,early morning,1,0,1
28,8-9,morning,0,0,1
28,9-10,morning,1,0,0
28,10-11,morning,0,1,0
28,11-12,morning,0,1,1
28,12-13,afternoon,1,1,1
28,13-14,afternoon,0,1,1
28,14-15,afternoon,1,1,0
28,15-16,afternoon,1,1,1
28,16-17,evening,1,1,1
28,17-18,evening,1,0,1
28,18-19,evening,1,1,1
28,19-20,evening,0,1,1
28,20-21,night,1,0,1
28,21-22,night,0,1,0
28,22-23,night,1,0,1
28,23-24,night,0,0,1
28,0-1,midnight,0,0,1
28,1-2,midnight,0,0,0
28,2-3,midnight,0,0,0
28,3-4,midnight,0,1,0
29,4-5,early morning,0,0,0
29,5-6,early morning,0,0,0
29,6-7,early morning,0,0,0
29,7-8,early morning,0,0,0
29,8-9,morning,0,0,1
29,9-10,morning,0,0,1
29,10-11,morning,1,1,0
29,11-12,morning,1,1,1
29,12-13,afternoon,1,1,1
29,13-14,afternoon,1,1,1
29,14-15,afternoon,1,1,1
29,15-16,afternoon,1,0,1
29,16-17,evening,1,1,1
29,17-18,evening,1,1,1
29,18-19,evening,1,1,1
29,19-20,evening,1,1,1
29,20-21,night,0,1,1
29,21-22,night,0,0,1
29,22-23,night,1,0,0
29,23-24,night,1,1,1
29,0-1,midnight,0,0,0
29,1-2,midnight,0,0,0
29,2-3,midnight,1,0,0
29,3-4,midnight,0,0,0
30,4-5,early morning,0,0,0
30,5-6,early morning,0,1,0
30,6-7,early morning,1,0,0
30,7-8,early morning,0,0,0
30,8-9,morning,1,1,1
30,9-10,morning,0,0,1
30,10-11,morning,0,0,1
30,11-12,morning,1,1,0
30,12-13,afternoon,1,1,1
30,13-14,afternoon,1,0,1
30,14-15,afternoon,1,1,1
30,15-16,afternoon,1,1,1
30,16-17,evening,1,1,1
30,17-18,evening,1,1,1
30,18-19,evening,1,1,1
30,19-20,evening,1,1,1
30,20-21,night,0,0,1
30,21-22,night,0,0,1
30,22-23,night,1,0,1
30,23-24,night,0,0,0
30,0-1,midnight,0,0,0
30,1-2,midnight,0,0,0
30,2-3,midnight,0,0,0
30,3-4,midnight,0,0,0
